timestamp,average_value,lower_bound,upper_bound
2022-07-12T00:00:00Z,95.2,91.6,99.0
2022-07-13T00:00:00Z,95.9,93.4,97.7
2022-07-14T00:00:00Z,95.1,93.2,97.5
2022-07-15T00:00:00Z,95.8,93.7,98.2
2022-07-16T00:00:00Z,95.7,93.4,98.0
2022-07-19T00:00:00Z,97.0,93.5,100.0
2022-07-20T00:00:00Z,98.1,96.9,100.0
2022-07-21T00:00:00Z,96.5,94.9,99.9
2022-07-22T00:00:00Z,96.2,93.2,99.4
2022-07-23T00:00:00Z,95.6,94.3,98.1
2022-07-25T00:00:00Z,96.2,91.6,100.0
2022-07-26T00:00:00Z,96.1,92.8,98.1
2022-07-27T00:00:00Z,97.4,93.8,99.9
2022-07-28T00:00:00Z,97.2,93.7,99.8
2022-07-29T00:00:00Z,95.8,93.4,98.5
2022-07-31T00:00:00Z,97.6,95.2,99.6
2022-08-01T00:00:00Z,96.0,92.9,99.4
2022-08-02T00:00:00Z,96.8,94.2,100.0
2022-08-03T00:00:00Z,96.6,95.1,98.5
2022-08-04T00:00:00Z,96.7,95.0,98.4
2022-09-09T00:00:00Z,95.0,93.4,96.4
2022-09-10T00:00:00Z,96.0,94.4,98.8
2022-09-11T00:00:00Z,95.3,93.5,96.8
2022-09-13T00:00:00Z,96.2,93.4,99.8
2022-09-14T00:00:00Z,96.8,94.3,100.0
2022-09-15T00:00:00Z,96.7,96.0,98.9
2022-09-16T00:00:00Z,97.8,96.0,99.6
2022-09-17T00:00:00Z,94.4,86.6,98.2
2022-09-18T00:00:00Z,96.1,96.4,95.9
2022-09-19T00:00:00Z,96.1,95.3,97.4
2022-09-20T00:00:00Z,95.5,94.7,95.8
2022-09-21T00:00:00Z,95.7,94.4,98.0
2022-09-22T00:00:00Z,97.1,94.8,100.0
2022-09-23T00:00:00Z,94.7,91.8,97.9
2022-09-24T00:00:00Z,95.0,92.4,97.8
2022-09-27T00:00:00Z,92.8,91.5,93.8
2022-09-28T00:00:00Z,97.5,96.3,99.7
2022-09-29T00:00:00Z,95.4,93.9,97.4
2022-09-30T00:00:00Z,96.1,93.2,99.4
2022-10-01T00:00:00Z,95.7,92.6,98.7
2022-10-02T00:00:00Z,98.1,95.9,100.0
2022-10-04T00:00:00Z,95.4,92.5,98.8
2022-10-05T00:00:00Z,96.4,95.9,96.2
2022-10-06T00:00:00Z,95.6,95.3,96.2
2022-10-07T00:00:00Z,96.5,93.7,98.4
2022-10-08T00:00:00Z,95.3,94.3,95.4
2022-10-09T00:00:00Z,94.6,93.4,96.4
2022-10-11T00:00:00Z,95.0,91.0,97.7
2022-10-12T00:00:00Z,94.3,93.7,95.3
2022-10-13T00:00:00Z,97.4,95.5,99.6
2022-10-14T00:00:00Z,95.4,91.8,98.6
2022-10-15T00:00:00Z,95.5,94.0,97.9
2022-10-16T00:00:00Z,96.0,93.9,98.5
2022-10-17T00:00:00Z,95.5,93.6,97.8
2022-10-18T00:00:00Z,96.7,94.6,99.1
2022-10-20T00:00:00Z,95.5,91.1,98.9